relationship_id,module,source_node_id,target_node_id,relationship_type,value,units,reference_year,release_year,estimate_period,origin_geography,destination_geography,geographic_scale,source_product,observed_estimated_modeled,source_id,evidence_strength,relationship_basis,confidence,reality_status,canon_status,notes
REL-0023,11A,POP-ZONE-39069,MUNI-3953550,contains_settlement,,,2020,2021,2020-04-01 geography,39069,1600000US3953550,county/place,2020 Census TIGER/PL geography,observed,s11a_decennial_oh_pl,high,point-in-county geographic containment,high,real,verified,Containment does not mean municipal residents equal county total.
REL-0024,11A,POP-ZONE-39173,MUNI-3957190,contains_settlement,,,2020,2021,2020-04-01 geography,39173,1600000US3957190,county/place,2020 Census TIGER/PL geography,observed,s11a_decennial_oh_pl,high,point-in-county geographic containment,high,real,verified,Containment does not mean municipal residents equal county total.
REL-0025,11A,POP-ZONE-39095,MUNI-3958730,contains_settlement,,,2020,2021,2020-04-01 geography,39095,1600000US3958730,county/place,2020 Census TIGER/PL geography,observed,s11a_decennial_oh_pl,high,point-in-county geographic containment,high,real,verified,Containment does not mean municipal residents equal county total.
REL-0026,11A,POP-ZONE-39173,MUNI-3962148,contains_settlement,,,2020,2021,2020-04-01 geography,39173,1600000US3962148,county/place,2020 Census TIGER/PL geography,observed,s11a_decennial_oh_pl,high,point-in-county geographic containment,high,real,verified,Containment does not mean municipal residents equal county total.
REL-0027,11A,POP-ZONE-39123,MUNI-3964150,contains_settlement,,,2020,2021,2020-04-01 geography,39123,1600000US3964150,county/place,2020 Census TIGER/PL geography,observed,s11a_decennial_oh_pl,high,point-in-county geographic containment,high,real,verified,Containment does not mean municipal residents equal county total.
REL-0028,11A,POP-ZONE-39173,MUNI-3968686,contains_settlement,,,2020,2021,2020-04-01 geography,39173,1600000US3968686,county/place,2020 Census TIGER/PL geography,observed,s11a_decennial_oh_pl,high,point-in-county geographic containment,high,real,verified,Containment does not mean municipal residents equal county total.
REL-0029,11A,POP-ZONE-39095,MUNI-3976022,contains_settlement,,,2020,2021,2020-04-01 geography,39095,1600000US3976022,county/place,2020 Census TIGER/PL geography,observed,s11a_decennial_oh_pl,high,point-in-county geographic containment,high,real,verified,Containment does not mean municipal residents equal county total.
REL-0030,11A,POP-ZONE-39147,MUNI-3976778,contains_settlement,,,2020,2021,2020-04-01 geography,39147,1600000US3976778,county/place,2020 Census TIGER/PL geography,observed,s11a_decennial_oh_pl,high,point-in-county geographic containment,high,real,verified,Containment does not mean municipal residents equal county total.
REL-0031,11A,POP-ZONE-39095,MUNI-3977000,contains_settlement,,,2020,2021,2020-04-01 geography,39095,1600000US3977000,county/place,2020 Census TIGER/PL geography,observed,s11a_decennial_oh_pl,high,point-in-county geographic containment,high,real,verified,Containment does not mean municipal residents equal county total.
REL-0032,11A,POP-ZONE-39161,MUNI-3979562,contains_settlement,,,2020,2021,2020-04-01 geography,39161,1600000US3979562,county/place,2020 Census TIGER/PL geography,observed,s11a_decennial_oh_pl,high,point-in-county geographic containment,high,real,verified,Containment does not mean municipal residents equal county total.
REL-0033,11A,POP-ZONE-39095,MUNI-3981858,contains_settlement,,,2020,2021,2020-04-01 geography,39095,1600000US3981858,county/place,2020 Census TIGER/PL geography,observed,s11a_decennial_oh_pl,high,point-in-county geographic containment,high,real,verified,Containment does not mean municipal residents equal county total.
